date,morning_ret,market_vol,ad_ratio,label
2026-01-30 00:00:00+00:00,0.0006643265327685141,0.0007274555201242247,2.0,0
2026-02-03 00:00:00+00:00,0.01352893589237237,0.0005928633402018481,1.0,0
2026-02-04 00:00:00+00:00,0.0037564559844542687,0.0005205473142812517,1.0,0
2026-02-05 00:00:00+00:00,0.0033400175020209064,0.0008398320516134778,1.0,0
2026-02-06 00:00:00+00:00,0.005711169211242529,0.0007437306277687031,1.0,0
2026-02-09 00:00:00+00:00,-0.0017071953839396027,0.0008122886838772899,0.0,0
2026-02-10 00:00:00+00:00,0.013273389160045649,0.0007137322279253873,1.0,0
2026-02-12 00:00:00+00:00,-0.005531921410440894,0.0005372506168909501,1.0,0
2026-02-13 00:00:00+00:00,-0.0023426352246734825,0.0006471768623813336,0.0,0
2026-02-16 00:00:00+00:00,-0.00616725251375612,0.0005974653435029366,0.0,0
2026-02-17 00:00:00+00:00,-0.004269521165985032,0.0006146278143237395,1.0,1
2026-02-18 00:00:00+00:00,0.012416107467840973,0.00045786663489963826,2.0,1
2026-02-19 00:00:00+00:00,0.00710999673888265,0.00049259058408374,0.0,0
2026-02-20 00:00:00+00:00,-0.006698923735475994,0.0005371221985532492,1.0,0
2026-02-24 00:00:00+00:00,0.005439217367463503,0.0005247371445183716,1.0,0
2026-02-25 00:00:00+00:00,-0.00047789302454261107,0.000502459646036548,1.0,0
2026-02-26 00:00:00+00:00,0.007697559137977134,0.0006127456738405708,1.0,0
2026-02-27 00:00:00+00:00,0.0012140146066103121,0.0005952994566776107,1.0,0
2026-03-02 00:00:00+00:00,0.007721599088034949,0.0008828126729034454,1.4375,1
2026-03-03 00:00:00+00:00,-0.004920374240277847,0.001193664020876611,0.0,0
2026-03-04 00:00:00+00:00,-0.017615418993991567,0.0022662431165033476,1.0,0
2026-03-05 00:00:00+00:00,-0.004481731627713171,0.0014890647413012778,0.0,0
2026-03-06 00:00:00+00:00,-0.010057907444081377,0.0012242809819497593,2.0,1
2026-03-09 00:00:00+00:00,-0.004714755056735118,0.0022651760752935286,1.0,0
2026-03-10 00:00:00+00:00,0.03963590723918663,0.0015497105967838447,1.0,1
2026-03-11 00:00:00+00:00,0.018404243914048213,0.0007523387318408391,0.0,0
2026-03-12 00:00:00+00:00,-0.0024544316917048605,0.0011939392217286207,1.0,0
2026-03-13 00:00:00+00:00,0.01003547399977712,0.0007223125382749915,1.0,0
2026-03-16 00:00:00+00:00,-0.0054329385415592115,0.0010176590985866635,1.0,1
2026-03-17 00:00:00+00:00,0.012560711358367229,0.000718581831729817,1.0,0
2026-03-18 00:00:00+00:00,0.011892229606341478,0.0005685776966452415,1.0,1
2026-03-19 00:00:00+00:00,-0.030320858437424634,0.0006890879707725776,1.0,0
2026-03-23 00:00:00+00:00,-0.00037056791138298214,0.0011848836511727104,0.0,0
2026-03-24 00:00:00+00:00,-0.005866850862886301,0.0013185227957530278,1.0,0
2026-03-25 00:00:00+00:00,0.025288312014193466,0.0008423816194227673,1.0,0
2026-03-26 00:00:00+00:00,0.006058888107361348,0.0007361547233010326,1.0,0
2026-03-27 00:00:00+00:00,0.004403987098704189,0.0008883827442235924,1.0,0
2026-03-30 00:00:00+00:00,0.009764749694798429,0.0015306721916238909,1.0,1
2026-03-31 00:00:00+00:00,0.011430499914443719,0.0015129523730999647,0.6666666666666666,0
2026-04-01 00:00:00+00:00,0.012978061366365042,0.0008449907638267422,1.0,0
2026-04-02 00:00:00+00:00,-0.0023689775000932303,0.001194374887051415,1.0,0
2026-04-03 00:00:00+00:00,0.007964499263216712,0.0008048710668802308,1.0,0
2026-04-06 00:00:00+00:00,0.0017787234603126427,0.0008771558123725131,0.3333333333333333,1
2026-04-07 00:00:00+00:00,0.0012801798229769258,0.0007897420528341894,2.5,1
2026-04-08 00:00:00+00:00,0.006455561738122552,0.000833531426393362,1.0,1
2026-04-09 00:00:00+00:00,-0.0002430336340286791,0.0006651030235669478,1.0,0
2026-04-10 00:00:00+00:00,0.0004011827761044315,0.0005269110867513661,1.0,0
2026-04-13 00:00:00+00:00,0.0024913546266917466,0.000573648645746427,1.0,1
2026-04-14 00:00:00+00:00,0.01181698723815882,0.000529438308102105,3.0,1
2026-04-15 00:00:00+00:00,0.0014541837175036866,0.0004982780076510744,1.0,0
2026-04-16 00:00:00+00:00,0.00367267840345843,0.0004972258857620512,1.0,0
2026-04-17 00:00:00+00:00,-0.006694421128686075,0.00036404060168245374,1.0,0
2026-04-21 00:00:00+00:00,-0.007036838761066511,0.0005828557059914508,0.0,0
2026-04-22 00:00:00+00:00,0.01072164265823209,0.0005951208822749859,1.0,0
2026-04-23 00:00:00+00:00,-0.003890543499066289,0.000799585977979377,1.0,0
2026-04-24 00:00:00+00:00,0.006968991353996209,0.00075273309126303,1.0,0
2026-04-27 00:00:00+00:00,0.00652629240731425,0.00074655661749751,0.0,0
2026-04-28 00:00:00+00:00,0.001155888404536243,0.0007402831701071365,1.0,0
