ticker,pb_ratio,surge_ratio,volatility,ma_slope,rsi,vol_spike,label
1458.T,3.5222670449426072,1.707106691636576,0.003361436270594426,0.0020206448907231045,57.14285714246305,1.2877510955992435,1
1458.T,4.460591063185665,-0.5149428931557397,0.003328444287115675,0.0015811180218879774,52.09302325547475,0.8654195790065592,1
1458.T,4.758178610892638,-1.8236973253894773,0.0031202755839900543,0.000942363523868432,48.756218905133046,0.37343337027863693,1
1458.T,5.067446122481565,-1.3750640423316374,0.0030411042679811835,0.0005708522824576986,48.27586206863258,0.7130109807047333,1
1458.T,3.3413297199789094,-1.1217878377189923,0.003205989736336676,0.0006373122544683078,58.5714285710381,0.7683185091059854,1
1459.T,1.7912293651177993,-1.791229365126379,0.005342351116785172,-0.005485332697326594,37.499999934375,0.8480614423135431,1
1459.T,1.1232171311072174,-1.1232171311125976,0.004259806710087082,-0.002870126763918453,44.444444375308635,0.2985648984543641,1
1459.T,1.1605518054078992,-1.160551805413458,0.004122769713807767,-0.0016762452107200502,49.9999999125,2.016043190537616,1
1459.T,1.1605518054078992,0.0,0.004122769713807767,-0.00023980815347612262,42.85714277142856,0.41365317904276167,1
1459.T,2.2457504448746812,-1.1282736610121453,0.004261103795603784,-0.0004796163069521089,37.499999934375,0.7165455676765965,1
1459.T,1.12249357723257,-1.1224935772379465,0.004262552561320802,-0.00047973135044142285,44.444444375308635,2.6496415839814174,1
1459.T,1.1677692024839033,0.0,0.0040972889311055175,-0.0009594627008828457,44.444444375308635,1.2660897782585028,1
1459.T,1.2048467891464907,0.0,0.003971200183664086,-0.0011993283761036254,49.9999999125,0.2412992414315042,1
1459.T,2.408849840939807,-1.210215424901026,0.003972591159024476,-0.0011996161228349346,44.444444375308635,3.002311207038262,1
1459.T,1.2039538692595952,1.215586273799326,0.003974145449759652,-0.0011999040076736266,44.444444375308635,0.9269992802212265,1
1459.T,2.332470188232249,-2.3324701882434216,0.004102678656384954,-0.0012004801920710662,44.444444375308635,0.1751471231279359,1
