Date,Close,High,Low,Open,Volume,RSI,MACD,MACD_Signal,BB_Upper,BB_Mid,BB_Lower,ATR,ADX,SMA_20,SMA_50,SMA_200,kairi_20,kairi_200,vol_ratio,return_lag_1,rsi_lag_1,return_lag_2,rsi_lag_2,return_lag_3,rsi_lag_3,target_return,ticker
2025-02-21,11975.0,12180.0,11965.0,12150.0,1067313,59.30470347614304,-5850.54753252782,-8071.239738790938,12221.26101836861,11790.75,11360.23898163139,293.2142857142857,6.8575047149975195,11790.75,56989.2,14349.79,1.5626656489197144,-16.549301418348282,1.1823180196231606,-0.006636250518457065,59.67078189266033,0.019582801191996513,52.29357798131554,0.027896995708154515,44.94623655886914,0.04570358831327785,1357.T
2025-02-25,12300.0,12385.0,12165.0,12365.0,844882,52.505966586761296,-5403.470190230433,-7537.685829078837,12273.611616287868,11838.25,11402.888383712132,271.42857142857144,6.770858727419882,11838.25,57232.8,14410.54,3.900492049078208,-14.645807860080195,0.8939449151448435,0.02713987473903967,59.30470347614304,0.0203235172127747,59.67078189266033,0.04725415070242667,52.29357798131554,0.04413357833948103,1357.T
2025-02-26,12375.0,12640.0,12375.0,12410.0,880356,59.94897959140853,-4985.635005350938,-7027.275664333257,12355.341319566405,11879.0,11402.658680433595,263.2142857142857,6.669424765306344,11879.0,57477.92,14471.655,4.1754356427308625,-14.488011219172936,0.943035616691922,0.0060975609756097615,52.505966586761296,0.03340292275574108,59.30470347614304,0.02654500207382826,59.67078189266033,0.035718082602079246,1357.T
2025-02-27,12265.0,12415.0,12215.0,12285.0,769031,57.17761557138663,-4610.229831951325,-6543.86649785687,12404.696213451676,11898.0,11391.303786548324,258.2142857142857,6.587911530089512,11898.0,57720.86,14532.225,3.084552025550513,-15.601361801100655,0.8265414214907584,-0.008888888888888835,59.94897959140853,-0.0028455284552845184,52.505966586761296,0.024217118997912346,59.30470347614304,0.025358573561841815,1357.T
2025-02-28,13000.0,13205.0,12645.0,12650.0,1793436,72.90076335838907,-4204.938259265571,-6076.080850138611,12658.283677759817,11965.75,11273.216322240183,309.64285714285717,6.437816375127265,11965.75,57978.52,14596.495,8.643419760566617,-10.937523014942974,1.6745377886684973,0.05992662046473707,57.17761557138663,0.05050505050505061,59.94897959140853,0.05691056910569103,52.505966586761296,0.012992158293652847,1357.T
2025-03-03,12535.0,12850.0,12515.0,12635.0,1147788,59.69125214379565,-3876.576619591371,-5636.180004029164,12725.852901223076,12013.25,11300.647098776924,329.2857142857143,6.310355714814457,12013.25,58226.94,14658.415,4.343121137077799,-14.485979555088324,1.0558269507476137,-0.035769230769230775,72.90076335838907,0.022013860578883104,57.17761557138663,0.012929292929293013,59.94897959140853,0.03872965952649698,1357.T
2025-03-04,12855.0,13200.0,12795.0,12835.0,1995591,63.62229102139606,-3549.6086498227924,-5218.86573318789,12846.152382871007,12080.0,11313.847617128993,363.92857142857144,6.154342850082726,12080.0,58481.7,14721.93,6.41556291390728,-12.681285673821296,1.5149785870521433,0.025528520143597966,59.69125214379565,-0.01115384615384618,72.90076335838907,0.048104362005707335,57.17761557138663,0.02724127781638113,1357.T
2025-03-05,12825.0,12965.0,12665.0,12870.0,1402590,64.92890995231943,-3255.3789453052705,-4826.168375611366,12946.290235290771,12111.5,11276.709764709229,371.7857142857143,6.023245016284977,12111.5,35228.2,14785.3,5.891095240061106,-13.258439125347465,0.9865672280090867,-0.002333722287047868,63.62229102139606,0.023135221380135684,59.69125214379565,-0.013461538461538414,72.90076335838907,0.028820438535491884,1357.T
2025-03-06,12580.0,12685.0,12475.0,12630.0,1166989,66.39741518548317,-3007.302921021683,-4462.39528469343,12999.147521845971,12141.25,11283.352478154029,370.0,5.923074927909309,12141.25,11929.8,14847.445,3.613713579738498,-15.271617439902963,0.7773299669588354,-0.019103313840155955,64.92890995231943,-0.021392454297938568,63.62229102139606,0.0035899481451935333,59.69125214379565,0.04772971868299289,1357.T
2025-03-07,13170.0,13195.0,12980.0,13125.0,1462400,70.20057306562097,-2731.604578109793,-4116.237143376702,13169.476131748153,12201.25,11233.023868251847,394.64285714285717,5.7625181524844,12201.25,11954.7,14912.545,7.939760270464102,-11.685094663586938,1.0190432310136999,0.04689984101748812,66.39741518548317,0.026900584795321647,64.92890995231943,0.02450408401400228,63.62229102139606,-0.01414667064047791,1357.T
