ticker,price,score,true_ev,win_prob,confidence,pattern_score,mechanical_rule,kelly_size,stop_loss,regime
4151.T,2318.5,17.135,1.039,21.6,0.3,42.7,📡 WAIT/PROBING,0,2171.6,BULL
1357.T,3725.0,16.685000000000002,0.808,25.3,0.3,93.7,📡 WAIT/PROBING,0,3402.0,BULL
8031.T,5690.0,16.27,0.889,24.0,0.3,65.4,📡 WAIT/PROBING,0,5231.4,BULL
4502.T,5218.0,15.235,0.87,24.9,0.3,44.7,📡 WAIT/PROBING,0,4940.3,BULL
9501.T,580.5,14.97,0.8,22.4,0.3,59.4,📡 WAIT/PROBING,0,518.4,BULL
9101.T,5580.0,14.625,0.819,21.4,0.3,52.5,📡 WAIT/PROBING,0,5166.1,BULL
9502.T,2572.5,14.2,0.851,22.4,0.3,44.0,📡 WAIT/PROBING,0,2384.6,BULL
9432.T,151.2,14.115,0.72,21.7,0.3,82.3,📡 WAIT/PROBING,0,147.5,BULL
9503.T,2455.5,13.375,0.699,25.7,0.3,67.5,📡 WAIT/PROBING,0,2318.1,BULL
8766.T,7164.0,12.29,0.551,23.8,0.3,85.8,📡 WAIT/PROBING,0,6693.1,BULL
8058.T,4810.0,11.965,0.626,24.1,0.3,59.3,📡 WAIT/PROBING,0,4418.6,BULL
7974.T,7893.0,11.785,0.58,23.7,0.3,75.7,📡 WAIT/PROBING,0,7352.5,BULL
1459.T,150.0,11.445,0.513,23.4,0.2,88.9,📡 WAIT/PROBING,0,135.5,BULL
8001.T,1926.0,11.085,0.565,23.0,0.3,61.7,📡 WAIT/PROBING,0,1817.8,BULL
3382.T,1878.5,11.0,0.74,23.3,0.3,0.0,📡 WAIT/PROBING,0,1716.4,BULL
8267.T,1547.0,11.0,0.736,23.0,0.3,0.0,📡 WAIT/PROBING,0,1413.8,BULL
8306.T,2788.0,10.44,0.524,24.9,0.3,68.8,📡 WAIT/PROBING,0,2623.0,BULL
7203.T,3067.0,9.370000000000001,0.48,24.5,0.3,47.4,📡 WAIT/PROBING,0,2866.8,BULL
4901.T,2879.5,9.32,0.493,24.0,0.3,46.4,📡 WAIT/PROBING,0,2728.2,BULL
9989.T,3781.0,9.215,0.496,23.2,0.3,44.3,📡 WAIT/PROBING,0,3646.2,BULL
6098.T,7302.0,8.655000000000001,0.497,23.7,0.3,33.1,📡 WAIT/PROBING,0,6664.3,BULL
4503.T,2385.5,8.445,0.461,22.5,0.3,48.9,📡 WAIT/PROBING,0,2236.8,BULL
6758.T,3188.0,8.205,0.448,24.0,0.3,44.1,📡 WAIT/PROBING,0,2981.9,BULL
4523.T,4570.0,8.11,0.413,22.1,0.3,42.2,📡 WAIT/PROBING,0,4289.6,BULL
9022.T,4052.0,8.1,0.429,22.9,0.3,42.0,📡 WAIT/PROBING,0,3783.4,BULL
7267.T,1292.5,6.9399999999999995,0.327,24.2,0.3,58.8,📡 WAIT/PROBING,0,1231.3,BULL
7741.T,28940.0,6.24,0.228,24.6,0.3,64.8,📡 WAIT/PROBING,0,27073.0,BULL
1458.T,70850.0,6.0,0.09,24.2,0.3,100.0,📡 WAIT/PROBING,0,65289.3,BULL
6367.T,21475.0,5.895,0.218,24.4,0.3,57.9,📡 WAIT/PROBING,0,19631.2,BULL
2802.T,4786.0,5.545,0.155,24.8,0.3,70.9,📡 WAIT/PROBING,0,4490.8,BULL
8802.T,4423.0,5.54,0.259,21.5,0.3,50.8,📡 WAIT/PROBING,0,4078.7,BULL
8411.T,6598.0,5.535,0.214,22.8,0.3,50.7,📡 WAIT/PROBING,0,6127.5,BULL
4063.T,6949.0,4.835000000000001,0.089,22.4,0.3,76.7,📡 WAIT/PROBING,0,6475.1,BULL
4061.T,3957.0,4.195,0.112,24.6,0.3,63.9,📡 WAIT/PROBING,0,3598.4,BULL
6920.T,45770.0,4.0,0.205,24.7,0.3,20.0,📡 WAIT/PROBING,0,40030.7,BULL
6503.T,6048.0,3.3850000000000002,-0.341,24.0,0.3,67.7,SKIP,0,5577.6,BULL
6301.T,7053.0,3.23,0.054,25.1,1.0,64.6,📡 WAIT/PROBING,0,6474.8,BULL
6146.T,76030.0,3.0100000000000002,-0.231,25.2,0.3,60.2,SKIP,0,68149.6,BULL
6902.T,1883.5,2.6100000000000003,-0.212,21.9,0.3,52.2,SKIP,0,1781.5,BULL
4661.T,2387.5,2.185,-0.054,21.3,0.3,43.7,SKIP,0,2240.8,BULL
6501.T,5356.0,1.945,-0.428,22.6,0.3,38.9,SKIP,0,4973.9,BULL
4568.T,2602.5,1.815,-0.412,24.8,0.3,36.3,SKIP,0,2331.0,BULL
8035.T,47100.0,1.0,-0.241,24.1,0.3,20.0,SKIP,0,42871.4,BULL
9983.T,71870.0,1.0,-0.076,24.8,0.5,20.0,SKIP,0,65882.5,BULL
6723.T,3124.0,1.0,-0.878,24.9,0.3,20.0,SKIP,0,2660.6,BULL
6981.T,4916.0,1.0,-0.045,26.0,1.5,20.0,SKIP,0,4416.7,BULL
6857.T,31500.0,1.0,-0.793,25.6,0.3,20.0,SKIP,0,27796.4,BULL
9984.T,5844.0,0.0,-0.623,25.5,0.3,0.0,SKIP,0,5047.8,BULL
