Hit_Keyword,トレード回数,平均利益率(%),勝率(%),累計利益(円)
上方修正,19,0.8683296794677041,52.63157894736842,1383.873306274414
目標,10,0.11282653157556273,50.0,88.70703125
最高,31,-0.07863905269358831,45.16129032258064,-291.038516998291
提携,11,-1.066364510607594,36.36363636363637,-1095.8545837402344
就任,6,-1.4366792915750455,16.666666666666664,-749.6080932617188
