timestamp,ticker,entry_price,win_prob,dev,rsi,0.0,0.0.1,Unnamed: 8
2026-03-13 15:00,4516.T,5466.0,86.44750751634744,7.327149488301221,65.00332667997338,4.662517951172807,11.510703787477606,
2026-03-16 11:00,7832.T,4255.0,89.16728189444166,3.027632228883581,67.91044776119404,0.0,0.0,
2026-03-16 11:30,7832.T,4263.0,88.33476549982362,3.2133414683750416,68.7311178247734,0.0,0.0,
2026-03-16 12:00,7832.T,4259.0,88.44514608460834,3.1204904457981852,68.31831831831832,0.0,0.0,
2026-03-16 12:30,7832.T,4259.0,88.44514608460834,3.1204904457981852,68.31831831831832,0.0,0.0,
2026-03-16 15:00,2206.T,6148.0,85.45179008837945,3.036803646845887,62.36363636363636,0.0,0.0,
2026-03-16,16:00,1662.T,2562.0,90.2,🕐 待機中,,,
2026-03-16,16:00,1663.T,5390.0,90.3,🕐 待機中,,,
2026-03-16,16:00,3774.T,2383.0,87.6,🕐 待機中,,,
2026-03-16,16:00,4091.T,6233.0,98.7,🕐 待機中,,,
2026-03-16,16:00,5801.T,29405.0,95.1,🕐 待機中,,,
2026-03-16,16:00,5803.T,25630.0,88.9,🕐 待機中,,,
2026-03-16,16:00,6619.T,182.0,90.4,🕐 待機中,,,
2026-03-16,16:00,6920.T,37800.0,88.4,🕐 待機中,,,
2026-03-16,16:00,7974.T,10100.0,89.6,🕐 待機中,,,
2026-03-16,16:00,9412.T,2955.0,89.4,🕐 待機中,,,
2026-03-16,16:00,9519.T,820.0,97.3,🕐 待機中,,,
2026-03-16,16:01,1662.T,2562.0,90.2,🕐 待機中,,,
2026-03-16,16:01,1663.T,5390.0,90.3,🕐 待機中,,,
2026-03-16,16:01,3774.T,2383.0,87.6,🕐 待機中,,,
2026-03-16,16:01,4091.T,6233.0,98.7,🕐 待機中,,,
2026-03-16,16:01,5801.T,29405.0,95.1,🕐 待機中,,,
2026-03-16,16:01,5803.T,25630.0,88.9,🕐 待機中,,,
2026-03-16,16:01,6619.T,182.0,90.4,🕐 待機中,,,
2026-03-16,16:01,6920.T,37800.0,88.4,🕐 待機中,,,
2026-03-16,16:01,7974.T,10100.0,89.6,🕐 待機中,,,
2026-03-16,16:01,9412.T,2955.0,89.4,🕐 待機中,,,
2026-03-16,16:01,9519.T,820.0,97.3,🕐 待機中,,,
2026-03-16,16:30,1662.T,2562.0,90.2,🕐 待機中,,,
2026-03-16,16:30,1663.T,5390.0,90.3,🕐 待機中,,,
2026-03-16,16:30,3774.T,2383.0,87.6,🕐 待機中,,,
2026-03-16,16:30,4091.T,6233.0,98.7,🕐 待機中,,,
2026-03-16,16:30,5801.T,29405.0,95.1,🕐 待機中,,,
2026-03-16,16:30,5803.T,25630.0,88.9,🕐 待機中,,,
2026-03-16,16:30,6619.T,182.0,90.4,🕐 待機中,,,
2026-03-16,16:30,6920.T,37800.0,88.4,🕐 待機中,,,
2026-03-16,16:30,7974.T,10100.0,89.6,🕐 待機中,,,
2026-03-16,16:30,9412.T,2955.0,89.4,🕐 待機中,,,
2026-03-16,16:30,9519.T,820.0,97.3,🕐 待機中,,,
